institution,degree,address,city_state_zip,initial_accreditation,status,next_visit
University of Denver,Clinical Psy.D.,Graduate School of Professional Psychology | 2450 S. Vine St.,"Denver, CO 80208","May 15, 1979",Accredited,Next site visit scheduled 2028
University of Colorado at Colorado Springs,Clinical Ph.D.,Department of Psychology | 1420 Austin Bluffs Parkway,"Colorado Springs, CO 80918","May 11, 2007",Accredited,Next site visit scheduled 2029
University of Colorado Boulder,Clinical Ph.D.,Department of Psychology and | Neuroscience | 345 UCB,"Boulder, CO 80309","January 12, 1949",Accredited,Next site visit scheduled 2030
University of Hartford,Clinical Psy.D.,200 Bloomfield Avenue,"West Hartford, CT 06117","March 05, 1991",Accredited,Next site visit scheduled 2028
Yale University,Clinical Ph.D.,216 Kirtland Hall | 2 Hillhouse Avenue,"New Haven, CT 06520-8205","February 01, 1948",Accredited,Next site visit scheduled 2035
University of Colorado Denver,Clinical Ph.D.,"1200 Larimer Street | North Classroom 5008G, Campus Box 173 | P.O. Box 173364","Denver, CO 80201-3364","March 14, 2014",Accredited,Next site visit scheduled 2034
University of Delaware,Clinical Ph.D.,108 Wolf Hall,"Newark, DE 19716","November 01, 1971",Accredited,Next site visit scheduled 2033
American University,Clinical Ph.D.,"4400 Massachusetts Avenue, NW | 321 Asbury","Washington, DC 20016","March 01, 1972",Accredited,Next site visit scheduled 2029
Catholic University of America,Clinical Ph.D.,620 Michigan Ave NE,"Washington, DC 20064","February 01, 1948",Accredited,Next site visit scheduled 2029
Florida International University,Clinical Ph.D.,Dept. of Psychology | 11200 S. W. 8th Street,"Miami, FL 33199","January 15, 2016",Accredited,Next site visit scheduled 2030
"Carlos Albizu University, Miami Campus",Clinical Psy.D.,,,,,
"The Chicago School - Washington, D.C. Campus",Clinical Psy.D.,"901 15th St. NW, 2nd Floor","Washington, DC 20005","December 03, 2015",Accredited,Next site visit scheduled 2034
"Florida School of Professional Psychology at National Louis University, Tampa",Clinical Psy.D.,"5110 Sunforest Drive, Suite 102","Tampa, FL 33579","October 29, 2020",Accredited,Next site visit scheduled 2030
University of Central Florida,Clinical Ph.D.,P.O. Box 161390,"Orlando, FL 32816-1390","April 18, 2003",Accredited,Next site visit scheduled 2033
Gallaudet University,Clinical Ph.D.,"800 Florida Avenue NE | Hall Memorial Building | Fourth Floor, S416","Washington, DC 20002","October 20, 1995",Accredited,Next site visit scheduled 2028
Florida State University,Clinical Ph.D.,Florida State University | 1107 W. Call St.,"Tallahassee, FL 32306-4301","January 01, 1954",Accredited,Next site visit scheduled 2029
